"","station","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"72","GDL-SV3-1121-20230620T1500-8657002",1,1,2023-07-03 06:41:14.872375,2023-07-03 06:41:14.872375,46.39481,-59.43017,"SABMPA-1283877-2022-11-01"
"73","GDL-SV3-1121-20230620T1500-8657003",1,1,2023-07-03 06:41:14.872482,2023-07-03 06:41:14.872482,46.39481,-59.43017,"SABMPA-1283877-2022-11-01"
"74","GDL-SV3-1121-20230620T1500-8657004",1,1,2023-07-03 06:41:14.872711,2023-07-03 06:41:14.872711,46.39481,-59.43017,"SABMPA-1283877-2022-11-01"
"75","GDL-SV3-1121-20240620T1000-8714747",1,1,2024-07-05 16:19:42,2024-07-05 16:19:42,46.08054,-59.38968,"SABMPA-1283900-2022-11-01"
"76","GDL-SV3-1121-20240620T1000-8714750",1,1,2024-07-05 16:23:49,2024-07-05 16:23:49,46.08243,-59.38968,"SABMPA-1283900-2022-11-01"
"77","GDL-SV3-1121-20240620T1000-8714769",1,1,2024-07-17 16:03:00,2024-07-17 16:03:00,45.92198,-58.99774,"SABMPA-1283887-2022-11-01"
"78","GDL-SV3-1121-20240620T1000-8714770",1,1,2024-07-17 16:05:08,2024-07-17 16:05:08,45.92077,-58.99788,"SABMPA-1283887-2022-11-01"
"79","GDL-SV3-1121-20240620T1000-8714773",1,1,2024-07-17 16:07:09,2024-07-17 16:07:09,45.91963,-58.99801,"SABMPA-1283887-2022-11-01"
"80","GDL-SV3-1121-20240620T1000-8714774",1,1,2024-07-17 16:08:55,2024-07-17 16:08:55,45.91865,-58.99812,"SABMPA-1283887-2022-11-01"
"81","GDL-SV3-1121-20240620T1000-8714775",1,1,2024-07-17 16:10:13,2024-07-17 16:10:13,45.91794,-58.9982,"SABMPA-1283887-2022-11-01"
"82","GDL-SV3-1121-20240620T1000-8714776",1,1,2024-07-17 16:11:53,2024-07-17 16:11:53,45.91702,-58.99831,"SABMPA-1283887-2022-11-01"
"83","GDL-SV3-1121-20240620T1000-8714777",1,1,2024-07-17 16:12:58,2024-07-17 16:12:58,45.91642,-58.99838,"SABMPA-1283887-2022-11-01"
"84","HFX002",1,5,2024-10-19 22:13:24,2024-10-19 22:20:26,44.47255,-63.52662,"SABMPA-1283925-2022-12-05"
"85","MR_24",1,25,2023-11-12 00:34:28,2023-11-12 01:07:24,44.7525,-62.02861,"SABMPA-1283885-2022-11-01"
"86","NE1_2023",1,43,2025-05-19 23:09:44,2025-06-06 04:59:47,46.6050499999999,-60.1632,"SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"87","NE3_2023",1,464,2025-05-20 12:19:23,2025-06-07 03:47:12,46.5918999999997,-60.1711700000004,"SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"88","NE5_2023",1,26,2025-06-07 15:58:01,2025-06-08 09:36:43,46.57858,-60.17877,"SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"89","NE7_2023",1,137,2025-07-07 13:50:50,2025-07-08 08:10:09,46.5652300000001,-60.1869699999999,"SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"90","NW1_2023",1,446,2025-05-30 03:20:10,2025-06-04 13:03:47,46.6076600000001,-60.1785100000005,"SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"91","NW2_2023",1,53,2025-05-31 03:55:00,2025-06-30 07:35:30,46.60051,-60.1824499999999,"SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"92","NW6_2023",1,807,2025-05-29 02:28:20,2025-07-07 12:57:16,46.5729500000008,-60.1979100000006,"SABMPA-MPA-SAB-23-HIP-08-2023-10-06"
"93","SCATARIE-7",1,23,2022-07-15 21:07:39,2022-07-28 13:00:05,46.04097,-59.70979,"SABMPA-2-2021-08-30"
