"X","OTN_ARRAY","OTN_ARRAY_2","OTN_ARRAY_3","STATION_NO","STATION_NO2","DEPLOY_DATE_TIME_UTC","BOTTOM_DEPTH","INS_MODEL_NO","RECEIVER_SN","RECEIVER_TAG_ID","RECOVERED","RECOVER_DATE_TIME_UTC","YEAR_DEPLOYED","Assigned_c","X.1","depth"
208,"SABMPA","SAB_OLD","SAB_SOUTH","S108","S8","2018-06-10T09:12:20",NA,"VR2AR",546076,"A69-1601-60540","Y","2019-08-07T09:45:00",2018,"A - Mud"," 46.02186)",119.2
209,"SABMPA","SAB_OLD","SAB_SOUTH","S109","S9","2018-06-10T09:20:57",NA,"VR2AR",545570,"A69-1601-60034","Y","2019-08-07T09:55:00",2018,"A - Mud"," 46.02182)",120.1
210,"SABMPA","SAB_OLD","SAB_SOUTH","S110","S10","2018-06-10T09:30:05",NA,"VR2AR",546087,"A69-1601-60551","Y","2019-08-07T10:07:00",2018,"A - Mud"," 46.02162)",137.2
211,"SABMPA","SAB_OLD","SAB_SOUTH","S111","S11","2018-06-10T09:38:55",NA,"VR2AR",546086,"A69-1601-60550","Y","2019-08-07T10:17:00",2018,"A - Mud"," 46.02176)",148.9
212,"SABMPA","SAB_OLD","SAB_SOUTH","S112","S12","2018-06-10T09:48:45",NA,"VR2AR",546081,"A69-1601-60545","Y","2019-08-07T10:24:00",2018,"A - Mud"," 46.02178)",148.9
213,"SABMPA","SAB_OLD","SAB_SOUTH","S113","S13","2018-06-10T09:57:27",NA,"VR2AR",546088,"A69-1601-60552","Y","2019-08-07T10:33:00",2018,"A - Mud"," 46.02188)",157.3
214,"SABMPA","SAB_OLD","SAB_SOUTH","S114","S14","2018-06-10T10:06:28",NA,"VR2AR",546090,"A69-1601-60554","Y","2019-08-07T10:41:00",2018,"A - Mud"," 46.02174)",134
215,"SABMPA","SAB_OLD","SAB_SOUTH","S115","S15","2018-06-10T10:15:09",NA,"VR2AR",546077,"A69-1601-60541","Y","2019-08-07T10:49:00",2018,"A - Mud"," 46.02187)",139.6
216,"SABMPA","SAB_OLD","SAB_SOUTH","S116","S16","2018-06-10T10:23:50",NA,"VR2AR",546073,"A69-1601-60537","Y","2019-08-07T10:58:00",2018,"A - Mud"," 46.02196)",146.3
217,"SABMPA","SAB_OLD","SAB_SOUTH","S117","S17","2018-06-10T10:33:46",NA,"VR2AR",545764,"A69-1601-60228","Y","2019-08-07T11:06:00",2018,"A - Mud"," 46.0218)",150.8
218,"SABMPA","SAB_OLD","SAB_SOUTH","S118","S18","2018-06-10T10:42:29",NA,"VR2AR",546085,"A69-1601-60549","Y","2019-08-07T11:15:00",2018,"A - Mud"," 46.02168)",147.9
