SET_SEQ,PRED_SEQ,PREY_SEQ,DATASOURCE,MISSION,SETNO,SDATE,STIME,STRAT,BOTTOM_TEMPERATURE,DEPTH,GEAR,SLATDD,SLONGDD,NAFO_ZONE,NAFO_SUBUNIT,SPEC,FSHNO,FWT,FLEN,STOWGT,EMPTYWGT,FULLNESS,FGEN,PREYSPECCD,PWT,PLEN,PNUM,RANK,DIGESTION,
8986,186437,215998,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4075,263,30,6.64,4.22,3,,2507,0.56,,,,3,
8986,186437,215999,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4075,263,30,6.64,4.22,3,,2000,1.86,,,,4,
8986,186451,216000,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,201,4063,278,31,15.59,12.55,2,,9000,3.04,,,,4,
8986,186455,216001,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,201,4067,312,31,10.44,9.55,1,,9000,0.89,,,,4,
8986,186440,216002,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,10,4078,58,19,1.91,1.69,1,,2000,0.22,,,,4,
8986,186452,216003,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,201,4064,293,30,11.09,8.38,3,,2507,2.71,,,,4,
8986,186453,216004,SCS,S10092019,6,10-Sep-19,1219,,3.46,135,15,46.26783,-59.0835,4VN,4VN,201,4065,157,24,6.77,4.57,3,,2000,2.2,,,,4,
8994,186841,216005,SCS,S11092019,10,11-Sep-19,1913,,5.74,198,15,45.7945,-59.0845,4VN,4VN,41,4470,28,18,0.23,0.18,2,,9200,0.05,,,,1,
8994,186832,216006,SCS,S11092019,10,11-Sep-19,1913,,5.74,198,15,45.7945,-59.0845,4VN,4VN,41,4461,82,25,0.85,0.35,3,,9200,0.5,,,,1,
8994,186839,216007,SCS,S11092019,10,11-Sep-19,1913,,5.74,198,15,45.7945,-59.0845,4VN,4VN,41,4468,70,24,0.49,0.41,1,,9200,0.08,,,,1,
