TRIP_ID,TRIP,BOARD_DATE,SET_NO,STATION,LATITUDE,LONGITUDE,NET_TEMPERATURE,EST_CATCH,SPECCD_ID,EST_NUM_CAUGHT,EST_DISCARD_WT
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,6100,10,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,6115,31,0.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,6117,13,1.1
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,8300,4,0.3
100052299,S13092018,2018-09-13,4,204,46.38867,59.12967,5.882202586,0.57221,8318,111,0.3
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,10,2,1.2
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,23,11,0.6
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,40,17,0.9
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,50,3,1.3
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,201,6,0.5
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,311,2,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,351,1,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,623,1,0.7
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,1510,1,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,2212,25,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,2523,1,0.006
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,2526,88,1.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,2527,1,0.001
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,2559,7,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,4210,5,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,4310,3,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,4511,1,0.2
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,4521,2,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,5100,3,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,6115,55,0.2
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,6117,3,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,6119,8,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,8300,4,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,8500,1,0.1
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,8600,120,3.8
100052299,S13092018,2018-09-13,5,611,46.31217,59.193,2.374898319,0.0011,9300,1,0.1
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,12,8,1.9
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,14,2,0.1
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,23,702,93.3
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,40,1,0.5
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,41,61,14.8
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,112,14,1.2
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,201,3,1
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,202,1,0.5
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,400,1,4.2
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,410,6,0.1
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,2211,22,0.2
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,2523,5,1.16
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,2526,9,0.065
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,4511,2,0.3
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,4521,1,0.1
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,6117,6,0.9
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,6600,1,0.1
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,8318,200,1.1
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,8500,1,0.2
100052299,S13092018,2018-09-13,6,609,46.35783,59.06267,6.724966372,0.000065,9300,1,0.1
100052299,S13092018,2018-09-13,7,16,46.2685,59.08467,2.412678151,0.0000001,10,1,0.3
100052299,S13092018,2018-09-13,7,16,46.2685,59.08467,2.412678151,0.0000001,23,62,1.8
100052299,S13092018,2018-09-13,7,16,46.2685,59.08467,2.412678151,0.0000001,40,2,0.1
100052299,S13092018,2018-09-13,7,16,46.2685,59.08467,2.412678151,0.0000001,41,1,0.2
